"response","treat"
"very little","worried"
"i worry about the state of the economy and the strain the immigrants are putting on it. using systems that were put in place by tax payers, who will likely never be able to use them because the government is giving aid to people who have never paid into them.","worried"
"excess population
jobs
gangs
education system
j","worried"
"increasd costs to our economic and government systems, i.e. welfare, healthcare, educational, criminal justice, social security, etc.

lack of respect of the american way of life, i.e. refusal to learn english or do the things that people who have immigrated to this country have done for years to assimilate and began citizens of the us.  they want americans to learn their language, customs, etc.","worried"
"controversy....political correctness....complex issue","think"
"i'm worried about the fact that it's unfair as to who can get a visa to come live here and who can't.","worried"
"something this country was built with. something the american population against immigrants coming into the country need to educate themsleves more in.","think"
"i think that we are country founded on immigration and we should definitely allow immigration, but with strict rules and regulations.  we need to be protected, physically and economically.  i think that if someone immigrates here and is a strain on society they should be removed.","think"
"immigration has been the life blood of this country and as long as we have jobs to be filled, people will be coming to fill them.  the lost of jobs is not due to  immigrants but to job outsourcing by large and small companies.  by making the crossing of the border with mexico so difficult, those workers who use to come to work for the season and then go home, are now bringing their families because they cannot risk going back and forth.","worried"
"the benifits that are given to them,the schooling for the kids immigrents should all be registered,","worried"
"mexico, illegal workers, difficult immigration process","think"
"loss of american culture.  loss of rights, money and services to americans.  lack of security.  double standards.  lack of unified english.  end of american way of life.","worried"
"immigration is fine as long as it is done legally.  people that are here illegally should be sent back to their country","think"
"diseases","worried"
"mexican illegals in america","think"
"i think of the american born people, and how we've sacrificed to give them their freedom. i think a lot of people have becom frustrated with it all. when white people apply for a job (minimum wage) and they are told their salary is not negotiable, and yet the minority is able to negotiate a higher wage for the same job. it is discrimination against our own. i think of what andy rooney said a while ago about this very subject and agree completely. if you come to our country - speak english. respect our laws. our country doesn't owe you anything, work for it like the rest of us! simply, i am against illegal immigrants, and legal immigrants should adjust to our ways, not us - to theirs.","think"
"people moving from one place to another, mostly for a better economic future.","think"
"bringing down our education systems, using up our government resouses less opportunities for americans for jobs, etc","think"
"those people that are here illegally should be sent back to their own country.  mexicans","think"
"racism & xenophobia make me worried!  also, corporations using immigrant labor because it's cheaper for them and the ensuing loss of well-paying jobs worries me quite a bit. vigilantes taking the law into their own hands at the border worries me.","worried"
"that immigrants are the heart and soul and the creative growth that america has always had--all immigrants. that although we focus on latinos there are illegals from many countries whose people we consider ""white"". that it would behoove us to find some way to tax any income from those who work here. it is wrong to take social security payments from people who will not receive it. immigrants must become citizens within 2 years of their visa issue date unless a student. students could get another 2 years until a degree is procured . thereafter they leave or become citizens. we will expect other countries to require that from our citizens who live abroad. there should be a heavy tarriff on any money that leaves the u.s. by any electronic transfer, bank draft or otherwise. that it would then be cheaper for an immigrant to bring his family here than to send money out. that we are the second largest  source of revenue for the government of mexico because immigrants send money home.","think"
"job security for our citizens","worried"
"public safety, effect on the economy, whether or not they're entering legally (and if not how unfair and upsetting that is), that they're not willing to learn english","worried"
"nothing","worried"
